STRUCTURE_NUMBER_008,COUNTY_CODE_003,FACILITY_CARRIED_007,FEATURES_DESC_006A,LOCATION_009,DECK_COND_058,SUPERSTRUCTURE_COND_059,SUBSTRUCTURE_COND_060,YEAR_BUILT_027,ADT_029,MODEL_DETERIORATION_RISK_SCORE,RISK_RANK,RISK_PERCENTILE,RISK_GROUP
000000000034448,125,TOWNSHIP ROAD 472,SR 0070,BUFFALO TOWNSHIP,6.0,7.0,5.0,1960.0,102.0,0.365918,13927,33.6,Low
000000000039080,101,MOUNT AIRY AVENUE,SEPTA;CHESTNUT HILL BR.,.3MI.NE.GERMANTOWN3369K10,6.0,5.0,5.0,1939.0,4653.0,0.365895,13928,33.6,Low
000000000042993,87,SR 22-US 22,SR 3002,LEWISTOWN BY-PASS,7.0,8.0,7.0,2005.0,5406.0,0.36587,13929,33.6,Low
000000000001843,3,BRODHEAD ROAD,BOGGS RUN,1.8 MI NW OF SR 3109,7.0,7.0,7.0,1920.0,4550.0,0.365864,13930,33.6,Low
000000000032518,115,SR 2024,MESHOPPEN CREEK,DIMOCK TWP .1 M E SR 2053,5.0,5.0,5.0,1942.0,738.0,0.365848,13931,33.6,Low
000000000010728,29,T-382,PA TPK (I-76),NEAR ELVERSON,6.0,6.0,6.0,1950.0,200.0,0.365842,13932,33.6,Low
000000000036301,129,SR 0981,SHERRICK RUN,EAST HUNTINGDON TOWNSHIP,5.0,6.0,6.0,1963.0,1952.0,0.365837,13933,33.6,Low
000000000001849,3,WASHINGTON RD,POTATO GARDEN RUN,NEAR SR 3071 INTERSECTION,7.0,7.0,6.0,1941.0,1064.0,0.36581,13934,33.6,Low
000000000046785,89,Village Drive,Trib. to Highlands Lake,0.1 MI W OF Big Ridge Dr,,6.0,3.0,1992.0,100.0,0.365809,13935,33.6,Low
000000000041972,125,PA TPK (TOLL 43),"SR88&1087,W&LE,CK",0.75MI. N OF SR136 INT.,7.0,7.0,7.0,2000.0,5533.0,0.365804,13936,33.6,Low
DAPAMCLET000008,55,VA. AVE. STA79+54,MUDDY RUN,NORTH OF B-9 ROAD,6.0,6.0,5.0,1943.0,40.0,0.365769,13937,33.6,Low
000000000010453,29,PENNOCK BRIDGE RD.,BRANCH WHITE CLAY CREEK,NEW LONDON          53D1,6.0,6.0,6.0,1954.0,630.0,0.365753,13938,33.6,Low
000000000040485,17,DARK HOLLOW ROAD,TRIB.NESHAMINY CREEK,1.1 MI NE SR2039 3036-A10,,6.0,5.0,1935.0,105.0,0.365751,13939,33.6,Low
000000000005359,11,LORANE RD,ANTIETAM CREEK,2 MI.S.E.OF REIFFTON,7.0,7.0,7.0,1997.0,1838.0,0.365728,13940,33.6,Low
